1,01.09,Повторення матеріалу вивченого у 7 класі
2,"05,09",Повторення матеріалу вивченого у 7 класі
3,"08,09",Повторення матеріалу вивченого у 7 класі
4,"12,09","Чотирикутник, його елементи."
5,"15,09",Сума кутів чотирикутника.
6,"19,09","Паралелограм, його властивості й ознаки."
7,"22,09","Паралелограм, його властивості й ознаки."
8,"26,09","Прямокутник, його властивості."
9,"29,09","Прямокутник, його властивості."
10,"03,10","Ромб, його властивості."
11,"06,10","Ромб, його властивості."
12,"10,10","Квадрат, його властивості."
13,"13,10","Узагальнення та систематизація знань, вмінь та навичок"
14,"17,10",Контрольна робота № 1 « Чотирикутники»
15,"20,10","Корекція знань, вмінь та навичок"
16,"31,10",Трапеція
17,"03,11",Вписані та центральні кути
18,"07,11",Вписані та описані чотирикутники.
19,"10,11",Розв’язування вправ
20,"14,11",Вписані та описані чотирикутники.
21,"17,11",Теорема Фалеса
22,"21,11","Середня лінія трикутника, її властивості"
23,"24,11","Середня лінія трапеції, її властивості"
24,"28,11",Розв’язування вправ
25,"01,12","Узагальнення та систематизація знань, вмінь та навичок"
26,"05,12",Контрольна робота № 2 « Чотирикутники»
27,08.12,"Корекція знань, вмінь та навичок"
28,"12,12",Узагальнена теорема Фалеса.
29,"15,12",Подібні трикутники.
30,"19,12","Узагальнення та систематизація знань, вмінь та навичок"
31,"22,12",Підсумковий урок за І семестр
32,09.01.,Теорема Піфагора
33,12.01.,Теорема Піфагора
34,16.01.,Теорема Піфагора
35,19.01.,"Перпендикуляр і похила, їх властивості"
36,23.01.,"Перпендикуляр і похила, їх властивості"
37,26.01.,Розв’язування задач. Самостійна робота № 7
38,30.01.,Співвідношення між сторонами і кутами прямокутного трикутника
39,02.02.,Співвідношення між сторонами і кутами прямокутного трикутника
40,06.02.,Співвідношення між сторонами і кутами прямокутного трикутника
41,09.02.,Розв’язування прямокутних трикутників
42,13.02.,Розв’язування прямокутних трикутників
43,16.02.,Розв’язування прямокутних трикутників. Самостійна робота № 8
44,20.02.,"Узагальнення та систематизація знань, вмінь та навичок"
45,23.02.,Тематична контрольна робота № 4
46,27.02.,"Урок корекції знань, умінь і навичок"
47,01.03.,Многокутник і його елементи. Сума кутів опуклого многокутника.
48,05.03.,"Многокутник і його елементи. Сума кутів опуклого многокутника. Многокутник, вписаний у коло, і многокутник, описаний навколо кола"
49,08.03.,Поняття площі многокутника. Площа прямокутника
50,12.03.,Поняття площі многокутника. Площа прямокутника
51,15.03.,Розв’язування задач і вправ. Самостійна робота № 9
52,19.03.,Площа паралелограма
53,22.03.,Площа паралелограма
54,02.04.,Площа трикутника
55,05.04.,Площа трикутника
56,09.04.,Площа трикутника
57,12.04.,Площа трапеції
58,16.04.,Площа трапеції
59,19.04.,Площа трапеції Самостійна робота № 10
60,23.04.,Розв’язування задач і вправ.
61,26.04.,"Узагальнення та систематизація знань, вмінь та навичок"
62,30.04.,Тематична контрольна робота № 5
63,03.05.,"Урок корекції знань, умінь і навичок"
64,07.05.,Чотирикутники
65,10.05.,Подібність трикутників
66,14.05.,Розв’язування прямокутних трикутників
67,17.05.,Розв’язування прямокутних трикутників
68,21.05.,Многокутники. Площі многокутників
69,24.05.,Підсумкова контрольна робота
70,28.05.,"Урок корекції знань, умінь і навичок"
71,31.05.,Підсумкове повторення та оцінювання навчальних досягнень
