1,04.09,Повторення матеріалу вивченого у 7 класі
2,07.09,Повторення матеріалу вивченого у 7 класі
3,11.09,Повторення матеріалу вивченого у 7 класі
4,14.09,Раціональні вирази. Раціональні дроби
5,18.09,Раціональні вирази. Раціональні дроби
6,21.09,Раціональні вирази. Раціональні дроби.
7,25.09,Основна властивість раціонального дробу.
8,28.09,Основна властивість раціонального дробу.
9,2.10,Арифметичні дії з раціональними дробами. ( додавання та віднімання)
10,05.10,Арифметичні дії з раціональними дробами.
11,09.10,Арифметичні дії з раціональними дробами.
12,12.10,Арифметичні дії з раціональними дробами.
13,16.10,"Узагальнення та систематизація знань, вмінь та навичок"
14,19.10,Контрольна робота № 1 « Раціональні вирази»
15,30.10,"Корекція знань, вмінь та навичок"
16,02.11,Арифметичні дії з раціональними дробами. ( множення та ділення )
17,06.11,Арифметичні дії з раціональними дробами.
18,09.11,Тотожні перетворення раціональних виразів
19,13.11,Розв’язування вправ
20,16.11,Раціональні рівняння.  Рівносильні рівняння.
21,20.11,"Узагальнення та систематизація знань, вмінь та навичок"
22,23.11,Контрольна робота № 2 « Раціональні вирази»
23,27.11,"Корекція знань, вмінь та навичок"
24,30.11,Степінь із цілим показником та його властивості.
25,04.12,Стандартний вигляд числа.
26,07.12,Розв’язування вправ
27,11.12,"Функція , її графік і властивості"
28,14.12,Розв’язування вправ
29,18.12,Контрольна робота № 3
30,21.12,"Узагальнення та систематизація знань, вмінь та навичок"
31,Дата,№
32,08.01.,"Аналіз контрольної роботи. Функція y = x2, її графік і властивості"
33,11.01.,Розв’язування задач і вправ
34,15.01.,Арифметичний квадратний корінь
35,18.01.,Розв’язування задач і вправ
36,22.01.,Множина та її елементи. Підмножина
37,25.01.,Числові множини
38,29.01.,Властивості арифметичного квадратного кореня
39,01.02.,Розв’язування задач і вправ
40,05.02.,Розв’язування задач і вправ. Самостійна робота
41,08.02.,"Тотожні перетворення виразів, що містять квадратні корені"
42,12.02.,Розв’язування задач і вправ
43,15.02.,"Функція , її графік і властивості"
44,19.02.,Розв’язування задач і вправ
45,22.02.,Розв’язування задач і вправ. Самостійна робота
46,26.02.,"Узагальнення та систематизація знань, вмінь та навичок"
47,29.02.,Контрольна робота № 4 за темою: «Квадратні корені. Дійсні числа»
48,04.03.,Аналіз контрольної роботи. Квадратні рівняння
49,07.03.,Розв’язування задач і вправ
50,11.03.,Формула коренів квадратного рівняння
51,14.03.,Розв’язування задач і вправ
52,18.03.,Розв’язування задач і вправ
53,21.03.,Розв’язування задач і вправ. Самостійна робота
54,01.04.,Теорема Вієта.
55,04.04.,Розв’язування задач і вправ.
56,08.04.,Розв’язування задач і вправ.
57,11.04.,Розв’язування задач і вправ. Самостійна робота
58,15.04.,"Узагальнення та систематизація знань, вмінь та навичок"
59,18.04.,Контрольна робота № 5 за темою: «Квадратні рівняння»
60,22.04.,Аналіз контрольної роботи. Квадратний тричлен. Розкладання квадратного тричлена на лінійні множники
61,25.04.,Розв’язування задач і вправ
62,29.04.,"Розв’язування рівнянь, які зводяться до квадратних"
63,02.05.,Розв’язування задач і вправ.
64,06.05.,Квадратне рівняння як математична модель прикладної задачі
65,09.05.,Розв’язування задач і вправ. Самостійна робота
66,13.05.,Розв’язування задач і вправ
67,16.05.,"Узагальнення та систематизація знань, вмінь та навичок"
68,20.05.,Контрольна робота №6 за темою: «Квадратний тричлен»
69,23.05.,Аналіз контрольної роботи.
70,27.05.,Розв’язування задач і вправ
71,30.05.,Підсумковий урок
